category,item,spec,initial_status,why_needed,notes
gel_base,Carbomer 940,500 g,buy now,Raise pH of carbomer dispersion (~3) to neutral (~6-7) via TEA to trigger gel network formation; backbone of carbomer route (assumption 1),Available; arrives within the week per supplier notes; standard lab pack size sufficient for multiple pilot batches
gel_base,Hydroxyethyl Cellulose,100 g,conditional buy,Alternative gel base if carbomer route proves unsuitable for API stability or rheology (assumption 2),Buy small amount as backup per supplier notes; not needed if pilot stays on carbomer route but avoids a second procurement cycle if route switches; 100 g small pack per supplier guidance on small/medium packs
neutralizer,Triethanolamine,500 mL,buy now,Raise pH of carbomer dispersion from acidic (~3) to gel-forming neutral range (~6-7),Required for carbomer route; available; arrives within the week
cosolvent,Propylene Glycol,500 mL,buy now,Cosolubilize API into the aqueous gel matrix and improve skin feel,Available; arrives within the week; standard cosolvent for topical gels
cosolvent,Glycerin,500 mL,buy now,Moisturize and improve gel appearance and skin feel,Available; arrives within the week; standard humectant
chelating_agent,Disodium EDTA,100 g,buy now,Chelate trace metal ions in water and excipients that could catalyze API oxidative degradation,Available; arrives within the week; low-risk stabilizer even if route changes
pH_adjuster,Citric Acid,500 g,buy now,Lower pH if TEA neutralization overshoots target pH range,Available; arrives within the week; safety net for pH control
preservative,Phenoxyethanol,100 mL,conditional buy,Candidate preservative-system component for final product protection,Buyable per supplier notes but compatibility with gel system not yet confirmed (pool: check_compatibility); purchase now so it is on hand, confirm compatibility before adding to formulation
packaging,Aluminum Tube,30 g capacity,defer,Candidate first-round filling package for tube presentation,Fill-weight uncertain (pool: check_fill_weight); basic lab aliquot containers sufficient for pilot per supplier notes; defer until fill-weight and route stability settled; favor small/medium pack when eventually purchased per supplier guidance
packaging,Airless Pump Bottle,50 mL capacity,defer,Stable presentation package for later-stage samples if gel proves stable,Route and fill-volume unclear (pool: defer_if_route_unclear); consider only after pilot stability confirmed per supplier notes; favor small/medium pack when eventually purchased
consumable,Disposable Syringe Filter,0.22 um,buy now,Prefilter pilot samples before evaluation to remove particulates,Available; needed for first pilot batch preparation
consumable,Spatula and Ointment Jar,lab_pack,buy now,Prepare pilot batches and retain samples for evaluation,Available; sufficient for lab-scale work
