Storyline,Priority,Lead_Paper_or_Trial,Year,Evidence_Tier,Key_Result,DOI,PMID,Journal,Full_Title,Lead_Authors,Notes
1. ADC revolution (2025),1,ASCENT-04/KEYNOTE-D19,2025,Tier 2,SG + pembro vs chemo + pembro in PD-L1+ 1L mTNBC: median PFS 11.2 vs 7.8 mo (HR 0.65); new SOC for PD-L1+ first-line mTNBC,10.1200/JCO.2025.43.17_suppl.LBA109,pending,J Clin Oncol,Sacituzumab govitecan + pembrolizumab vs chemotherapy + pembrolizumab in previously untreated PD-L1-positive advanced TNBC: ASCENT-04/KEYNOTE-D19,de Azambuja E; Kalinsky K; Loi S; et al,ASCO 2025 LBA; OS immature; replaces chemo backbone in PD-L1+ setting
1. ADC revolution (2025),1,TROPION-Breast02,2025,Tier 2,"Dato-DXd vs ICC in immunotherapy-ineligible (mixed PD-L1) 1L mTNBC: PFS 10.8 vs 5.6 mo (HR 0.57); OS 23.7 vs 18.7 mo (HR 0.79) — first significant OS in immunotherapy-ineligible 1L mTNBC",10.1016/S0923-7534(25)04801-X,pending,Ann Oncol,First-line Dato-DXd vs chemotherapy in mTNBC: TROPION-Breast02,Dent RA; Shao Z; Schmid P; et al,"ESMO 2025 LBA21 (Oct 2025 Berlin); FDA Priority Review 2026; population includes PD-L1+ patients ineligible for ICI"
1. ADC revolution (2025),1,ASCENT-03,2025,Tier 2,SG vs chemo in PD-(L)1-ineligible 1L mTNBC: PFS 9.7 vs 6.9 mo (HR 0.62); 38% risk reduction; DOR 12.2 vs 7.2 mo; OS immature,pending,pending,ESMO 2025 (LBA20),ASCENT-03: SG vs chemotherapy in first-line advanced TNBC unable to receive PD-(L)1 inhibitors,Cortés J; et al,"ESMO 2025 LBA20 (Oct 17-21 Berlin); Gilead topline press release 27 May 2025; data cutoff 2 Apr 2025"
1. ADC revolution (pre-2025),1,KEYNOTE-355,2022,Tier 1,Pembrolizumab + chemo: PFS 9.7 vs 5.6 mo and OS HR 0.73 in PD-L1 CPS>=10 mTNBC,10.1056/NEJMoa2202809,35857659,N Engl J Med,Pembrolizumab plus Chemotherapy in Advanced Triple-Negative Breast Cancer,Cortes J; Rugo HS; Cescon DW; et al,FDA-approved; final OS analysis confirmed benefit
1. ADC revolution (pre-2025),1,KEYNOTE-522,2022,Tier 1,Neoadjuvant pembro + chemo: pCR 64.8% vs 51.2%; EFS benefit regardless of PD-L1 status,10.1056/NEJMoa2112651,35139274,N Engl J Med,Event-free Survival with Pembrolizumab in Early Triple-Negative Breast Cancer,Schmid P; Cortes J; Dent R; et al,PD-L1 NOT predictive in neoadjuvant setting — key controversy
1. ADC revolution (pre-2025),1,ASCENT,2021,Tier 1,SG vs TPC in relapsed mTNBC: PFS 5.6 vs 1.7 mo; OS 12.1 vs 6.7 mo,10.1056/NEJMoa2028485,33882206,N Engl J Med,Sacituzumab Govitecan in Metastatic Triple-Negative Breast Cancer,Bardia A; Hurvitz SA; Rugo HS; et al,FDA-approved for relapsed/refractory mTNBC
1. ADC revolution (HER2-low reclassification),1,DESTINY-Breast04,2022,Tier 1,"T-DXd vs TPC in HER2-low mBC: all-patient PFS 9.9 vs 5.1 mo (HR 0.50); OS 23.4 vs 16.8 mo (HR 0.64); HR-negative subgroup: PFS 8.5 vs 2.9 mo (HR 0.46); OS 18.2 vs 8.3 mo (HR 0.48)",10.1056/NEJMoa2203690,35665782,N Engl J Med,Trastuzumab Deruxtecan in Previously Treated HER2-Low Advanced Breast Cancer,Modi S; Jacot W; Yamashita T; et al,"FDA-approved; redefines TNBC boundary — many former TNBC patients now HER2-low eligible"
1. ADC revolution (HER2-low reclassification),1,DESTINY-Breast06,2024,Tier 1,"T-DXd in HR+/HER2-low and HER2-ultralow mBC: PFS 13.2 vs 8.1 mo (HR 0.63); extends to HER2-ultralow (IHC 0 with faint staining)",10.1056/NEJMoa2407571,pending,N Engl J Med,Trastuzumab Deruxtecan in HER2-Low or HER2-Ultralow Metastatic Breast Cancer,Curigliano G; et al,"FDA-approved Jan 2025; further shrinks 'true TNBC' population"
1. ADC revolution (pre-2025),1,OlympiAD,2017,Tier 1,Olaparib vs chemo in gBRCA-mutated mTNBC: PFS 7.0 vs 4.2 mo,10.1056/NEJMoa1706450,28578601,N Engl J Med,Olaparib for Metastatic Breast Cancer in Patients with a Germline BRCA Mutation,Robson M; Im SA; Senkus E; et al,FDA-approved; gBRCA subset only (~5-10% of TNBC)
1. ADC revolution (pre-2025),1,OlympiA,2021,Tier 1,Adjuvant olaparib: 3-year iDFS 85.9% vs 77.3% in gBRCA-mutated HER2-neg BC,10.1056/NEJMoa2105215,34081848,N Engl J Med,Adjuvant Olaparib for Patients with BRCA1- or BRCA2-Mutated Breast Cancer,Tutt ANJ; Garber JE; Kaufman B; et al,FDA-approved adjuvant setting
