Risk_ID,Risk_Domain,Specific_Risk,Severity,Evidence_Type,Directly_Sourced_Evidence,Inference_Component,Formulation_Consequence,Priority_Rank
R01,Solubility,Aqueous solubility near zero (practically insoluble per label §11),High,Directly sourced,"Label §11: practically insoluble in water; PubChem XLogP 7.7 (whole molecule)",None — the qualitative fact is directly sourced,"Any aqueous vehicle requires solubilization strategy before API can be incorporated at 3 mg/g. This is the primary formulation gate. The numerical solubility value is unknown (see R04), so the magnitude of the challenge cannot be quantified.",1
R02,Solubility,Large saturated hydrocarbon (adamantyl) likely dominates hydrophobicity — no heteroatoms in the cage fragment,High,Mixed,"PubChem SMILES shows adamantyl fragment with no O/N atoms; whole-molecule XLogP 7.7","Which structural feature contributes most to logP cannot be determined from local files — this is a general medicinal chemistry inference","If the adamantyl cage is the primary hydrophobicity driver, then solubilization must overcome a large nonpolar volume with only one ionizable anchor (–COOH). But this causal attribution is inferred, not measured.",2
R03,Solubility / pH,pKa unknown — ionization fraction at any proposed vehicle pH cannot be calculated,High,Mixed,"PubChem SMILES shows one –COOH; H-bond donor count = 1 (consistent with sole ionizable group but not proof)","Sole ionizable group is interpretive; pKa ~4–5 estimated from aromatic carboxylic acid class, not measured","Without measured pKa: (a) cannot calculate ionization fraction at vehicle pH, (b) cannot estimate logD, (c) cannot design pH-solubility strategy, (d) cannot model skin flux. This is the single most blocking unknown.",3
R04,Solubility,Numerical aqueous solubility value unknown — only qualitative descriptor available,High,Mixed,"Label §11: practically insoluble (qualitative)","Numerical estimate <1 µg/mL inferred from logP 7.7 but not measured","Cannot determine whether a proposed vehicle can hold 3 mg/g without a number. Cannot calculate supersaturation ratio or thermodynamic activity. Qualitative label language is insufficient for formulation design.",4
R05,Partitioning,LogD at skin-relevant pH unknown — logP 7.7 is neutral form only,High,Mixed,"PubChem XLogP 7.7 for neutral form","LogD at pH 5.5–7 estimated ~5–6 (logP minus ~2 units for single-acid ionization above pKa) but neither logD nor pKa measured","Permeation rate through stratum corneum depends on logD not logP. Without measured logD, release-rate targets and flux predictions are unreliable. Route should not be locked without this measurement.",5
R06,Irritation,Cutaneous irritation: mild rates 26–45% and moderate rates 13–18% across four reaction types,High,Directly sourced,"Label §6.1 Table 1 (page 4): percentages for erythema/scaling/dryness/burning at mild/moderate/severe; N=253",None — rates are directly sourced,"Excipient selection and release rate are constrained by these baseline irritation rates. One-year data (N=551) confirms pattern persists. Any new vehicle must not worsen these rates.",6
R07,Irritation,Severe burning/stinging in 3.6% of patients (9/253),High,Directly sourced,"Label §6.1 Table 1: severe burning/stinging 3.6% (9/253)",None,"Severe reactions drive discontinuation and are a safety signal. May require dose titration, buffering, or controlled-release strategy in new vehicle.",7
R08,Irritation,Irritation appears primarily drug-driven relative to the Differin vehicle — but this conclusion is scoped to one vehicle pair only,High,Mixed,"Label §6.1 Table 2: vehicle total Related = 4.5% (6/134) vs Differin total Related = 22.1% (57/258)","'Primarily drug-driven' is an inference from one comparison; a different vehicle at 0.3% could produce different rates; 'overwhelmingly' or 'confirmed' would be overclaims","If drug-driven, vehicle changes alone may reduce but not eliminate irritation. The scope limitation is critical: cannot generalize beyond this one vehicle pair.",8
R09,Irritation / Solubility,Solubilization–irritation cross-constraint: excipients that dissolve hydrophobic APIs overlap with label-prohibited irritants,High,Mixed,"Label §5.3: caution against alcohol, astringents, drying agents; §17: avoid AHA/glycolic acids","Solubilizers for practically insoluble APIs tend to be irritating (general formulation knowledge, not from local files)","This is the central formulation tension. New vehicle excipients must be screened for both solubilization capacity and irritation potential in parallel. Solving one axis without tracking the other will produce a vehicle that fails on the other.",9
R10,UV_Sensitivity,Label requires sun avoidance and sunscreen use during treatment,High,Directly sourced,"Label §5.2 (page 3): minimize sunlight/sunlamp exposure; sunscreen and protective clothing recommended",None — the warning is directly sourced,"Patient instructions and potentially packaging constraints regardless of vehicle. Whether this reflects photosensitivity (clinical) or photodegradation (stability) or both is not stated — see R11.",10
