procurement_priority,step,step_day,item,blocker_severity,substitutable,reason,substitution_note,cross_step_dependency
1,qPCR detection,Tuesday + Wednesday,Target gene primers x2,absolute_blocker,no,"Completely missing; Tuesday qPCR assay cannot start without them; no workaround exists",No real substitute,Missing primers block Tuesday qPCR cascading to Wednesday reruns and Friday data organization
2,RNA extraction & RT prep,Monday,TRIzol,critical_blocker,no,"Only enough for one small extraction round with zero margin; if Monday extraction fails there is no stock for a redo; extraction-batch continuity at risk",Do not switch extraction systems casually at the last minute,Monday extraction failure cascades to block Tuesday qPCR and Wednesday reruns
3,qPCR detection,Tuesday + Wednesday,Sealing film,critical_blocker,no,"Almost used up; needed for plate sealing Tuesday qPCR AND Wednesday replicate/rerun wells; evaporation and amplification consistency at risk across both days",Do not try to make do with a generic sealing film,Needed Tuesday (qPCR plate seal) and Wednesday (replicate/rerun wells)
4,RNA extraction & RT prep,Monday,RNase-free filter tips,critical_blocker,no,"Tight inventory; ordinary tips raise contamination risk and can invalidate downstream results",Do not casually substitute ordinary tips,Also needed Tuesday (qPCR setup) and Wednesday (reruns)
5,qPCR detection,Tuesday + Wednesday,SYBR qPCR mix,important_blocker,no,"About half a box left; may not cover a full 96-well run Tuesday plus Wednesday replicate reruns; running out mid-experiment would force an incomplete dataset or a detection-chemistry switch that invalidates cross-day comparability","Switching detection chemistry mid-week would break cross-day comparability; not flagged in missing_reagents.csv but inventory confirms low stock and experiment plan requires two consecutive qPCR days",Needed Tuesday (full 96-well run) and Wednesday (replicate reruns)
6,CCK-8 cytotoxicity screen,Thursday,CCK-8 reagent,critical_blocker,no,"Low remaining amount; Thursday cytotoxicity screen cannot proceed without it; switching to a different viability assay would disrupt the comparison framework",Do not switch to a different viability assay in this round,Thursday CCK-8 failure leaves Friday with no cytotoxicity data to organize
7,CCK-8 cytotoxicity screen — cell culture prerequisite,Ongoing before Thursday,FBS,important_blocker,yes,"Less than 1 bottle left; experiment plan explicitly flags FBS as one of the biggest cell-experiment risks this week; temporary sharing possible short-term but should not become the norm; delayed procurement could still block Thursday CCK-8",Temporary sharing is possible but should not be delayed too long,Culture health directly affects Thursday CCK-8 cell quality
8,CCK-8 cytotoxicity screen,Thursday,96-well cell-culture plate,important_blocker,yes,"Only 1 pack left; inventory reminder flags this as likely to block progress; insufficient for Thursday cell-experiment schedule if more plates are needed",A different brand of the same format is acceptable,Insufficient plates Thursday means Friday has no CCK-8 data to organize
9,CCK-8 cytotoxicity screen — cell culture prerequisite,Ongoing before Thursday,Trypsin,backup,yes,"Almost used up; cell passaging affected before Thursday experiment; a similar product can be borrowed short-term",A similar product can be borrowed for a short period,Passaging delays affect Thursday CCK-8 cell availability
10,Cross-cutting consumables,Cross-cutting,0.22 um sterile filter,backup,yes,"Not enough in stock; filtration and sterile handling of prepared solutions affected; different brand of same specification acceptable",A different brand of the same specification is acceptable,Used across RNA prep, cell culture, and CCK-8 setup
