row_id,split
1,train
2,test
3,train
4,test
5,train
6,train
7,train
8,train
9,test
10,train
11,test
12,test
13,train
14,train
15,train
16,train
17,train
18,test
19,train
20,test
21,train
22,test
23,test
24,test
25,train
26,train
27,train
28,train
29,test
30,test
31,test
32,train
33,test
34,train
35,test
36,train
37,test
38,train
39,train
40,train
41,train
42,train
43,train
44,train
45,test
46,train
47,train
48,test
49,train
50,test
51,test
52,train
53,train
54,train
55,test
56,train
57,train
58,train
59,test
60,train
61,train
62,test
63,train
64,test
65,test
66,train
67,test
68,train
69,test
70,train
71,train
72,train
73,train
74,test
75,test
76,train
77,test
78,train
79,train
80,train
81,train
82,train
83,train
84,test
85,test
86,test
87,train
88,test
89,test
90,train
91,train
92,test
93,train
94,test
95,train
96,train
97,test
98,test
99,test
100,train
101,train
102,test
103,train
104,train
105,train
106,test
107,train
108,train
109,train
110,train
111,train
112,train
113,train
114,train
115,train
116,train
117,train
118,test
119,train
120,train
121,test
122,train
123,train
124,train
125,test
126,train
127,train
128,train
129,train
130,train
131,train
132,train
133,train
134,train
135,test
136,test
137,test
138,train
139,test
140,train
141,train
142,train
143,train
144,train
145,train
146,train
147,test
148,train
149,train
150,test
151,train
152,test
153,test
154,train
155,train
156,train
157,train
158,test
159,train
160,test
161,train
162,train
163,train
164,train
165,train
166,train
167,test
168,test
169,train
170,train
171,train
172,train
173,test
174,train
175,train
176,train
177,test
178,train
179,train
180,test
181,train
182,train
183,train
184,train
185,train
186,train
187,train
188,test
189,train
190,train
191,train
192,train
193,train
194,train
195,train
196,train
197,train
198,train
199,train
200,train
201,train
202,train
203,train
204,train
205,train
206,test
207,train
208,train
209,train
210,train
211,train
212,train
213,train
214,test
215,test
216,train
217,test
218,train
219,train
220,test
221,test
222,train
223,train
224,train
225,train
226,test
227,train
228,train
229,train
230,train
231,test
232,train
233,train
234,train
235,test
236,train
237,train
238,train
239,test
240,test
241,train
242,train
243,train
244,train
245,train
246,train
247,train
248,train
249,test
250,train
251,train
252,test
253,train
254,train
255,train
256,test
257,train
258,test
259,train
260,train
261,test
262,train
263,train
264,test
265,train
266,train
267,train
268,train
269,test
270,train
271,train
272,test
273,test
274,train
275,train
276,train
277,train
278,test
279,test
280,train
281,train
282,train
283,train
284,train
285,test
286,test
287,test
288,train
289,test
290,train
291,test
292,train
293,train
294,train
295,train
296,test
297,train
298,train
299,train
300,train
301,test
302,train
303,train
304,train
305,train
306,train
307,train
308,train
309,test
310,train
311,test
312,train
313,train
314,train
315,train
316,train
317,train
318,train
319,test
320,train
321,train
322,train
323,test
324,train
325,test
326,test
327,train
328,test
329,test
330,test
331,train
332,train
333,train
334,train
335,train
336,test
337,test
338,test
339,test
340,train
341,train
342,train
343,train
344,train
345,train
346,train
347,test
348,test
349,test
350,train
351,train
352,train
353,train
354,train
355,train
356,train
357,train
358,train
359,train
360,test
361,train
362,train
363,train
364,train
365,train
366,test
367,train
368,train
369,train
370,train
